"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Does knowledge tradeability make secrecy more attractive than patents? An analysis of IPR strategies and licensing","https://scispace.com/paper/does-knowledge-tradeability-make-secrecy-more-attractive-4zmlnub5rd","2016","Journal Article","Oxford Economic Papers-new Series","Frederique Goy
Changtao Wang","10.1093/OEP/GPV051","","- **Relevance Score:** 56/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Compares secrecy vs patents using firm‑level survey data; analyzes actual firms' choices and determinants; provides aggregate statistics but lacks a single detailed company case with granular numbers.","Despite considerable protections provided by the patent system, a surprisingly small number of firms use patents. This study focuses on examining empirically Henry and Ponce (2011)’s theoretical finding that firms’ preference of secrecy over patents rise with knowledge tradeability using the Innovation in Australian Business survey data. Besides, other determinants of firms’ choices of patenting versus secrecy are explored. We constructed a trivariate probit model to correct for the endogeneity of the key explanatory dummy variable in the basic bivariate probit model of patents and secrecy. As robustness check, we attempted to correct for the potential sample selection bias caused by using only the innovator subsample. Our key findings are that firms engaged in knowledge trading or those among the largest R&D investors, are more likely to use secrecy than patents. Other findings are consistent with the existing literature, which are large or manufacturing firms and those involving R&D joint-ventures are more likely to use patents, while firms obtaining information from internal and non-market sources are more inclined to use secrecy."
"From patents to trade secrets","https://scispace.com/paper/from-patents-to-trade-secrets-2uxxnbsajh","2023","Book Chapter","","Michael Risch","10.4337/9781802206210.00012","","- **Relevance Score:** 56/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses diff‑in‑diff analysis to show firms shift from patents to trade secrets after court rulings; leverages firm‑level data on software patents; provides aggregate 50% increase statistic but lacks granular case details.","Beginning in 2010, the U.S. Supreme Court limited the type of inventions that were patentable. In the aftermath of these limits, patent plaintiffs began to lose cases - especially software patent cases - in a way they had not before. Commentators predicted that, faced with waning patent protection, inventors would look to trade secrecy to protect their creations. This chapter is the first to empirically test this prediction. Using a novel dataset and exploiting the differing impact of rule changes on different types of patents, the chapter performs a difference-in-differences-in-differences analysis on trade secret claims before and after Court rulings. The analysis confirms a likely shift to trade secrecy among product and service companies who hold software patents. These companies - those most affected by the law - were 50% more likely to include a trade secret claim in their patent cases after the patent law changed. All the other plaintiffs saw no increase in trade secret claims. The chapter discusses the robustness of this finding, as well as questions that it cannot answer. "
"Secrecy and patents: Evidence from the uniform trade secrets act","https://scispace.com/paper/n9IMCtMKTbQJ","","","","IPL Png","","https://scholar.archive.org/work/nli2gixymvhxrj6wfcra5y7ila/access/wayback/http://www.economics.cornell.edu:80/sites/default/files/files/events/Ivan.Png_.pap_.IO_.pdf","- **Relevance Score:** 56/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Compares patents vs. trade secrets and shows managers weighing legal protection; uses firm‑level data (companies with >2 patents, 1976‑) to illustrate decisions; provides limited numeric detail, lacking full scenario specifics.",""
"The Impact of Trade Secret Protection on Corporate Patenting: Evidence from an Emerging Market","https://scispace.com/paper/th1i_rHjjzkJ","","","","M Liu
Q Ying
J Liu","","","- **Relevance Score:** 56/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Provides comparative analysis of patents vs trade secrets and empirical firm-level evidence from an emerging market, but lacks a detailed factual scenario; other niche topics are absent.",""
"The effects of business practices, licensing, and intellectual property on development and dissemination of the polymerase chain reaction: case study","https://scispace.com/paper/the-effects-of-business-practices-licensing-and-intellectual-b4f1xxoxvu","2006","Journal Article","Journal of Biomedical Discovery and Collaboration","Joe Fore
Ilse R. Wiechers
Ilse R. Wiechers
Robert Cook-Deegan","10.1186/1747-5333-1-7","https://link.springer.com/content/pdf/10.1186/1747-5333-1-7.pdf","- **Relevance Score:** 44/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses PCR licensing history to illustrate corporate IP decisions with $2 B royalties, timelines, and licensing terms, but does not compare patents to trade secrets.","Polymerase chain reaction (PCR) was a seminal genomic technology discovered, developed, and patented in an industry setting. Since the first of its core patents expired in March, 2005, we are in a position to view the entire lifespan of the patent, examining how the intellectual property rights have impacted its use in the biomedical community. Given its essential role in the world of molecular biology and its commercial success, the technology can serve as a case study for evaluating the effects of patenting biological research tools on biomedical research. Following its discovery, the technique was subjected to two years of in-house development, during which issues of inventorship and publishing/patenting strategies caused friction between members of the development team. Some have feared that this delay impeded subsequent research and may have been due to trade secrecy or the desire for obtaining lucrative intellectual property rights. However, our analysis of the history indicates that the main reasons for the delay were benign and were primarily due to difficulties in perfecting the PCR technique. Following this initial development period, the technology was made widely available, but was subject to strict licensing terms and patent protection, leading to an extensive litigation history. PCR has earned approximately $2 billion in royalties for the various rights-holders while also becoming an essential research tool. However, using citation trend analysis, we are able to see that PCR's patented status did not preclude it from being adopted in a similar manner as other non-patented genomic research tools (specifically, pBR322 cloning vector and Maxam-Gilbert sequencing). Despite the heavy patent protection and rigid licensing schemes, PCR seems to have disseminated so widely because of the practices of the corporate entities which have controlled these patents, namely through the use of business partnerships and broad corporate licensing, adaptive licensing strategies, and a ""rational forbearance"" from suing researchers for patent infringement. While far from definitive, our analysis seems to suggest that, at least in the case of PCR, patenting of genomic research tools need not impede their dissemination, if the technology is made available through appropriate business practices."
"Expired Patents, Trade Secrets, and Stymied Competition","https://scispace.com/paper/expired-patents-trade-secrets-and-stymied-competition-8z0mxl3zv6","2017","Journal Article","Notre Dame Law Review","W. Nicholson Price","","https://scispace.com/pdf/expired-patents-trade-secrets-and-stymied-competition-8z0mxl3zv6.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Perfectly compares patent vs trade‑secret choices, detailing incentives and regulatory lock‑in; Highly relevant to FDA disclosure impacts; Somewhat touches reverse‑engineering risk, manufacturing process lock‑in, and mixed IP portfolio considerations.","Patents and trade secrecy have long been considered substitute incentives for innovation. When inventors create a new invention, they traditionally must choose between the two. And if inventors choose to patent their invention, society provides strong legal protection in exchange for disclosure, with the understanding that the protection has a limit: it expires 20 years from the date of filing. At that time, the invention is opened to the public and exposed to competition. This story is incomplete. Patent disclosure is weak and focuses on one technical piece of an invention — but that piece is often only a part of the market-relevant innovation. Patent-holding innovators use various tactics to distort the patent bargain and prolong effective monopolies beyond the patent’s expiration date. These tactics include using patented inventions to generate secret information, relying on the timing difference between patent filing and product marketing to make disclosure nearly irrelevant, and tying secret components to patented frameworks. While these phenomena have been noted before, this paper joins them together as examples of ways that innovators avoid the competition-promoting function of patent expiration, ultimately limiting the benefit the public receives from patented inventions. It also suggests that the most problematic cases likely involve markets where additional factors, such as regulation or other market irregularities, require that goods be interchangeable. Finally, it proposes the concept of economic enablement: patentees may have a responsibility to enable not just the bare technical invention disclosed in a patent, but rather the minimum information necessary to commercially exploit the patented invention. Against the background of the newly enacted federal Defend Trade Secrets Act, courts and scholars alike should examine the boundaries between trade secrets and patents to ensure that the overlap does not distort the policy goal of incentivizing and promoting both innovation and competition."
"Is Silence Golden? Patents Versus Secrecy at the Firm Level","https://scispace.com/paper/is-silence-golden-patents-versus-secrecy-at-the-firm-level-2vmql2i6ho","2005","Posted Content","Social Science Research Network","Katrin Hussinger
Katrin Hussinger","","","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses German manufacturing firm data to compare patents and secrecy, showing patents boost market sales while secrecy aids pre‑commercial inventions; provides aggregate firm‑level observations and sales numbers but lacks deep single‑company narratives or granular timelines.","In the 1990s, patenting schemes changed in many respects: Upcoming new technologies accelerated the shift from price competition towards competition based on technical inventions, a worldwide surge in patenting took place, and the 'patent thicket' arose as a consequence of strategic patenting. This study analyzes the importance of patenting versus secrecy as an effective alternative to protect intellectual property in the inventions' market phase. The sales figure with new products is introduced as a new measure of the importance of IP protection tools among product innovating firms. Focusing on German manufacturing in 2000, it turns out that patents are an effective means to protect intellectual property in the market, whereas secrecy seems to be rather important for inventions that are not yet commercialized."
"The Protection of Information Technology in a Culturally Diverse Marketplace, 15 J. Marshall J. Computer & Info. Law 129 (1996)","https://scispace.com/paper/the-protection-of-information-technology-in-a-culturally-58x51p65ei","1996","Journal Article","The John Marshall Journal of Information Technology & Privacy Law","Doris E Long","","https://scispace.com/pdf/the-protection-of-information-technology-in-a-culturally-58x51p65ei.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Provides thorough legal comparison of patents vs trade secrets, but lacks empirical company data, detailed scenarios, and specific risk or sector analyses.","Apres un examen des relations entre la technologie et les lois sur la propriete intellectuelle, l'A. presente l'ensemble des droits garantis par le droit aux formes traditionnelles de la propriete intellectuelle (copyrights, brevets, secrets commerciaux, plans industriels, droits voisins) et leur application a la protection des innovations technologiques. Puis il explore le developpement des standards internationaux de protection pour de telles formes de propriete intellectuelle et examine des problemes rencontres en creant un consensus international. L'A. aborde egalement l'impact du pluralisme culturel, de l'economie et de la nature transitoire de la technologie sur l'etablissement de normes internationales sur la protection intellectuelle"
"Big patents, small secrets: how firms protect inventions when R&D outcome is heterogeneous","https://scispace.com/paper/big-patents-small-secrets-how-firms-protect-inventions-when-qfn3yvwdgj","2011","Posted Content","Research Papers in Economics","Malte Mosel","","https://www.econstor.eu/bitstream/10419/73407/1/670178020.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Provides a solid theoretical comparison of patents vs secrets and hints at mixed‑portfolio choices, but lacks real‑firm data, concrete scenarios, and industry‑specific discussions.","Patents have long been regarded as the ‘gold standard’ of intellectual property protection. In “Little patents and big secrets: managing intellectual property”, Anton and Yao (2004) call this traditional view into question by finding that firms keep their most important innovations secret. This model modifies key assumptions made by Anton and Yao by accounting for patenting costs, patentability standards, and the fact that patents provide protection in competitive situations where secrecy fails. The latter aspect counteracts the empirically substantiated fact that, in situations where both appropriation mechanisms are applicable, secrecy provides more protection. It is found that firms keep small inventions secret, use both mechanisms for medium inventions, and patent their most important innovations. This result reestablishes the traditional view that patents are crucial to provide R&D incentives and is yet consistent with main empirical findings on the issue."
"The problem of new uses.","https://scispace.com/paper/the-problem-of-new-uses-1ri3cxnii0","2005","Journal Article","Yale journal of health policy, law, and ethics","Rebecca S. Eisenberg","","https://scispace.com/pdf/the-problem-of-new-uses-1ri3cxnii0.pdf","- **Relevance Score:** 32/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Compares patents, trade secrets, and FDA data rules; discusses disclosure impacts on drug trials. Lacks firm‑level data, concrete timelines, or detailed case specifics.",""
