"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Reverse engineering and trade secrets in the post-Alice world","https://scispace.com/paper/reverse-engineering-and-trade-secrets-in-the-post-alice-vy4sxmkeipit","","","","Samuel J. LaRoque
J Candidate
Nathan Mannebach
Beth Hanus
Mathew Finally
Adam Petersen
Mackenzie Gillaspie","10.17161/1808.25704","https://kuscholarworks.ku.edu/bitstreams/ab6bbc7a-8f88-4499-8e4c-47daa6831aeb/download","… a trade secret is through reverse engineering, so software companies turning to … reverse engineering by competitors or else risk losing protection. Yet while patent protection for software …","Consider a new software startup company, its employees working long hours to develop a software algorithm that will be bigger, better, and faster than the state-of-the-art already on the market.Maybe it will allow traders to respond to changing financial markets a millisecond faster than their competitors, or it will help airlines plan more efficient routes to save billions of dollars in fuel each year.The company believes this new algorithm will lead to an initial public offering worth tens of millions of dollars and early retirement.But before it releases the software and changes the world, it wants patent protection.It wants to prevent others from taking the same algorithm, packaging it with a slightly different product, and selling it for less because it had lower development costs.The company consults with several patent lawyers and receives discouraging news.In view of several recent Supreme Court decisions, most notably Alice Corp. v. CLS Bank International 1 in 2014, this algorithm will be nearly impossible to patent.This company cannot use patent protection to exclude others from using the algorithm, and the company's success is suddenly highly uncertain.What should the company do?These are difficult times for software companies seeking to protect their intellectual property.The United States Supreme Court decided"
"Misappropriation of trade secrets in biotechnology licensing","https://scispace.com/paper/misappropriation-of-trade-secrets-in-biotechnology-licensing-3wwhvd6kre","1994","Journal Article","Albany Law Journal of Science and Technology","Dan L. Burk","","https://escholarship.org/content/qt99r332d2/qt99r332d2_noSplash_ec4fc505ad989a65f015bf25da67b159.pdf","… an abundance of intriguing discoveries in pharmaceutical, agricultural, chemical, and … Trade secret protection can be easily lost through independent discovery, reverse engineering…",""
"The Secret is Out: Patent Law Preempts Mass Market License Terms Barring Reverse Engineering for Interoperability Purposes","https://scispace.com/paper/the-secret-is-out-patent-law-preempts-mass-market-license-30hvevp7r6","2006","Posted Content","Social Science Research Network","Daniel Laster","","https://law.bepress.com/cgi/viewcontent.cgi?article=4680&context=expresso","… One potential obstacle to such a world arguably is Apple's attempt to use contract law to prevent competitors from reverse engineering (RE) Apple's software to discover and use the …","As patent protection has emerged to protect software, courts and commentators have mistakenly focused on copyright law and overlooked the centrality of patent preemption to limit contract law where a mass market license which prohibits reverse engineering (RE) for purposes of developing interoperable products leads to patent-like protection. Review of copyright fair use cases on RE and Congress's policy favoring RE for interoperability purposes in the Digital Millennium Copyright Act reinforce the case for patent preemption. Also, the fundamental freedom to RE embodied in state trade secret law, coupled with federal patent and copyright law and policies, cumulatively should override a contract barrier on RE based upon the public policy exception to contract enforcement. If courts fail to consider patent and public policy limits on contract, the anomalous result is potential outsourcing of interoperability development to one of the increasing number of foreign jurisdictions where interoperability policy overrides contract law. Ironically, that would harm the U.S. economy and thereby frustrate the purpose of the Intellectual Property Clause of the Constitution. Finally, the patent preemption/public policy invalidation approach to mass market contracts outlined in this article may also provide a new lens whenever a mass market contract results in a de-facto monopoly on useful data."
"Scaling up and reverse engineering: Acquisition of industrial knowledge by copying drugs in Brazil","https://scispace.com/paper/scaling-up-and-reverse-engineering-acquisition-of-industrial-1ac7elc21y","2008","Other","Research Papers in Economics","Maurice Cassier
Marilena Correa","10.4337/9781848444898.00015","https://shs.hal.science/halshs-02024011/document","… decade’s experience in the reverse engineering of pharmaceutical syntheses. Codetec’s trained … In the patent we describe the various options. So, to do reverse engineering one has to …","HAL is a multi-disciplinary open access archive for the deposit and dissemination of scientific research documents, whether they are published or not. The documents may come from teaching and research institutions in France or abroad, or from public or private research centers. L’archive ouverte pluridisciplinaire HAL, est destinée au dépôt et à la diffusion de documents scientifiques de niveau recherche, publiés ou non, émanant des établissements d’enseignement et de recherche français ou étrangers, des laboratoires publics ou privés. Scaling up and reverse engineering Acquisition of industrial knowledge by copying drugs in Brazil Maurice Cassier, Marilena Correa"
"The legality of reverse engineering or how to legally decipher trade secrets","https://scispace.com/paper/the-legality-of-reverse-engineering-or-how-to-legally-2avjehs6ws","","Journal Article","SHS web of conferences","Carmen Tamara Ungureanu
Çtefan Răzvan Tataru","10.1051/shsconf/202317702001","https://www.shs-conferences.org/articles/shsconf/pdf/2023/26/shsconf_copeji2023_02001.pdf","… main issues that of what reverse engineering consists of, what … of reverse engineering in the traditional industry, software … of reverse engineering, setting limits to trade secret protection…","Reverse engineering is the process of extracting secret information (trade secrets) by analysing an existing product. To determine whether reverse engineering falls within the limits of legality, the paper explores first the trade secrets (their meaning and forms, their regulation and legal protection). Then, the reverse engineering is brought under scrutiny, pointing out its main issues that of what reverse engineering consists of, what are the conditions that should be met in order to be considered legal, where it could be applied. The paper highlights the usefulness of reverse engineering in the traditional industry, software industry and as well as in the digital twins technology. In this endeavour, beyond the consulted legal literature, European and American caselaw is examined. Finally, the means of protection that trade secrets right holders have at their disposal against reverse engineering are revealed."
"Enhancing TRIPS: trade secrets and reverse engineering","https://scispace.com/paper/enhancing-trips-trade-secrets-and-reverse-engineering-3p3ceup4g5","2016","Book Chapter","","Gintare Surblyte","10.1007/978-3-662-48107-3_24","http://ndl.ethernet.edu.et/bitstream/123456789/47400/1/104.pdf#page=723","… invention in the patent application basically renders reverse engineering unnecessary, 13 … Harte-Bavendamm furthermore points out that reverse engineering of software can possibly …","Twenty years after TRIPS, the European Commission has raised an initiative to harmonize trade secret protection throughout the EU. Due to having set minimum requirements, TRIPS has not achieved uniform trade secret protection. Importantly, it remained silent in Article 39 TRIPS on such concepts as reverse engineering. As a result, national laws and/or case-law on this issue diverge not only on both sides of the Atlantic, but also within the EU. Yet, drawing the limits of trade secret protection and the boundaries of reverse engineering is of highest importance for innovation. The Proposal for the Directive which aims at harmonizing trade secret protection in the EU explicitly addresses reverse engineering as a legitimate means to discover information. However, it simultaneously provides for a possibility to restrict it on the basis of a contract. The question thereby arises of the legitimacy of such contractual restrictions and possibly of the limits of a freedom of contract. A further issue to be discussed is whether the Proposal for the Trade Secrets Directive goes beyond TRIPS in a way that it could be considered as an enhanced, “TRIPS-plus” model to be followed not only within the EU, but also outside its borders."
"The law and economics of reverse engineering","https://scispace.com/paper/the-law-and-economics-of-reverse-engineering-5c6tnqhe5p","2002","Journal Article","Yale Law Journal","Pamela Samuelson
Suzanne Scotchmer","10.2307/797533","https://openyls.law.yale.edu/bitstreams/41f6e064-6733-418b-8afa-87a1c3a6ca6a/download","… the enforceability of licenses forbidding reverse engineering of software and other digital … patent rights in software components. In 1998, Congress outlawed the reverse engineering of …","II. REVERSE ENGINEERING IN TRADITIONAL MANUFACTURING INDU STRIES ..................................................................................... 1582 A. A Legal Perspective on Reverse Engineering .......................... 1582 B. An Economic Perspective on Reverse Engineering ................. 1585 C. Anti-Plug-Mold Laws: An Exception to Reverse Engineering Rules? .................................................................. 1591"
"Development of a redesign process based on reverse engineering and patent circumvention","https://scispace.com/paper/development-of-a-redesign-process-based-on-reverse-3lrmln90","2022","Journal Article","International Journal On Interactive Design And Manufacturing (ijidem)","Mohammed Akerdad
A. Aboutajeddine
Mohammed Elmajdoubi","10.1007/s12008-022-00918-w","","… tools of reverse engineering. On the other hand, the use of reverse engineering for new product … on the combined use of patent circumvention and reverse engineering. This process is …",""
"Reverse engineering and its applications","https://scispace.com/paper/reverse-engineering-and-its-applications-5gp1v6lg3c","2018","Book Chapter","","Attya Bhatti
Nida Ali Syed
Peter John","10.1016/B978-0-12-804659-3.00005-1","https://www.researchgate.net/profile/Syeda-Marriam-Bakhtiar/publication/322187117_3D_Printing_Technologies_and_Their_Applications_in_Biomedical_Science/links/5d319fd7a6fdcc2462ec1903/3D-Printing-Technologies-and-Their-Applications-in-Biomedical-Science.pdf#page=114","… This chapter gives an account of the application of reverse engineering … Reverse engineering may be applied by a chemical manufacturer to outgrow a patent on a rival’s manufacturing …","Commonly described as the reversal of the traditional approach of product development, reverse engineering is a putative concept of the field of engineering that has found numerous applications in diverse fields. Reverse engineering can be used to capture a three-dimensional product or model in digital form, remodeled, and exported for rapid prototyping/tooling or rapid manufacturing. A salient feature of reverse engineering approach is the ability to speed up the manufacturing process, as the production is typically based on prototypes that have already been manufactured and undergo desired modifications. This chapter gives an account of the application of reverse engineering in diverse fields of biological sciences such as bioinformatics, biosystems, human regulatory networks, medical device design, software design, pharmaceutical product design, and therapeutic protein production. From a legal and economic standpoint, reverse engineering has a long-standing history of being an acceptable practice, as it often endorsed as an appropriate way of obtaining information about another product and utilizing this information to develop another product that is directly in competition to the existing product. However, with an increase in the number of products being reverse engineered, several conflicts of legal origin have arisen, which highlight the need for the development of specific legislature governing the practices of reverse engineering that serve a regulatory purpose."
"Counterfeit, imitation, reverse engineering and learning: reflections from Chinese manufacturing firms","https://scispace.com/paper/counterfeit-imitation-reverse-engineering-and-learning-31qi42gl7i","2007","Journal Article","R & D Management","T. Minagawa
Paul Trott
Andreas Herbert Hoecht","10.1111/J.1467-9310.2007.00488.X","","… The pharmaceutical lobby powerfully makes this argument. Yet, interestingly, some of the … today – software, computers and semiconductors, have historically had weak patent protection …","In a previous paper, we developed an alternative perspective on product imitation and innovation. In this paper, we explore some of our research questions using empirical data gathered in China. While we do not condone counterfeit activities, we explore the role of counterfeiting, imitation and learning from the perspective of Chinese manufacturers and provide insight from a small number of key informants about the motives and incentives for non-consensual acquisition of technology and their views on what Western firms should be doing to counteract the threat to their technological advantage. In this paper, we argue that where companies use the technology property of others to develop their own technology capability without the consent of the other party (non-consensual acquisition of technology), firms should consider whether there are opportunities for collaboration before resorting immediately to the legal tools at their disposal to enforce intellectual property rights and seek financial recompense from infringers without due consideration of the learning, new product development and innovation context. We believe that the findings from our case studies can make a significant contribution towards a better understanding of non-consensual acquisition of technology in an innovation context. In particular, the information gained from the key informants provides their perspective on the causes of non-consensual acquisition of technology and their views and recommendations of how companies affected by this behaviour might be able to better handle this problem."
