"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Trade protection in the united states: 31 case studies","https://scispace.com/paper/trade-protection-in-the-united-states-31-case-studies-13i3knn5fz","1986","Journal Article","The International Executive","Gary Clyde Hufbauer
Diane T. Berliner
Kimberly Ann Elliott","10.1002/TIE.5060280210","","Nicolas Schmitt \""Hufbauer, Gary Clyde, Berliner Diane T. and Elliott, Kimberly Ann, Trade Protection in the United States : 31 Case Studies. Washington (D.C.), Institute for International Economics, 1986, 365 p..\"" Études internationales 181 (1987): 263–264. DOI : 10.7202/702157ar Ce document est protégé par la loi sur le droit d'auteur. L'utilisation des services d'Érudit (y compris la reproduction) est assujettie à sa politique d'utilisation que vous pouvez consulter en ligne. [https://apropos.erudit.org/fr/usagers/politiquedutilisation/]","Hufbauer et al. as mentioned in this paper proposed a loi sur le droit d'auteur for the provision of services d'Érudit, which is protégé by la loi de l'utilisation des services d'."
"Intellectual Property Protection and Financial Markets: Patenting vs. Secrecy","https://scispace.com/paper/intellectual-property-protection-and-financial-markets-2smqmqmm05","2015","Journal Article","Social Science Research Network","Nishant Dass
Vikram K. Nanda
Steven Chong Xiao","10.2139/SSRN.2517838","https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3200854_code17302.pdf?abstractid=3200854&mirid=1","Firms can protect intellectual property (IP) either by keeping inventions secret or by patenting the IP, which entails detailed information disclosure. Our hypothesis is that the firm's choice between secrecy and patenting is influenced by the relative protection provided, which then has distinct implications for stock liquidity and equity financing. Stronger IP-protection through trade secrets (patents) is expected to encourage firms to rely more (less) on secrecy, thus increasing (reducing) information asymmetry and stock illiquidity. Our empirical findings are supportive: exogenous, staggered passage of state-level statutes that strengthen trade-secret protection result in: fewer patent applications, increased opaqueness, greater stock illiquidity, and worse announcement reaction to seasoned equity offerings (SEOs). By contrast, implementation of the international Agreement on Trade-Related Aspects of Intellectual Property Rights (a.k.a. TRIPS), that strengthened patent-protection, is followed by an increase in patenting, enhanced transparency, greater stock liquidity, and a less negative stock-market reaction to SEOs.","In this article, the authors show that patent protection through trade secrets (patents) is expected to encourage firms to rely more on secrecy, thus increasing information asymmetry and stock illiquidity."
"Disclosure, Patenting, and Trade Secrecy","https://scispace.com/paper/disclosure-patenting-and-trade-secrecy-5tkh9x0vq6e4","2024","Journal Article","Journal of Accounting Research","Arnoud W. A. Boot
Vladimir Vladimirov","10.1111/1475-679x.12580","","Abstract Patent applications often reveal proprietary information to competitors, but does such disclosure harm firms or also benefit them? We develop and empirically support a theory showing that when firms patent enhancements to incumbent, nondisruptive technologies, they can cooperate more easily on these technologies, increasing their profitability. The downside of cooperating on nondisruptive technologies is that the investment in and commitment to disruptive technologies decline. To improve their commitment to disruptive technologies, some firms rely more on trade secrecy. We provide empirical support for these predictions. We document that after a patent reform that made information about patent applications widely accessible, firms cooperate more and charge higher markups. Furthermore, the nature of patented innovation has changed, with the proportion of nondisruptive patents increasing substantially. Finally, while some firms start patenting more, others patent less and rely more on trade secrecy, with the response depending on the attractiveness of firms' innovation prospects. ","Patent disclosure can benefit firms by facilitating cooperation on nondisruptive technologies, increasing profitability, but may harm them by reducing investment in disruptive technologies, prompting some to rely on trade secrecy instead."
"The Business of Intellectual Property","https://scispace.com/paper/the-business-of-intellectual-property-2bxv9n9ijd","2008","Book","","Christopher M. Arena
Eduardo M. Carreras","","","FORWARD PREFACE 1. Reports from the Revolution I. Trade-Undressed - The Zeigenfelder Company (Trade dress) II. Copy Wrong and Copy Right Napster and Apple (Copyright) III. A Coke by Any Other Name The Coca-Cola Company (Trademark) IV. Securing the Borders with Patents Texas Instruments (Patent) 2. The Economics of Intellectual Property I. Premise II. Example III. Economic Systems IV. The Knowledge Economy V. The Intellectual Property Economy 3. Building Blocks of the Intellectual Property Economy I. Introduction II. The Information Hierarchy: Data, Information, Knowledge, Understanding and Wisdom III. Qualities of Information/Knowledge IV. Processing Information: Creativity, Invention and Innovation V. The Currency of Intellectual Property A. Patents B. Trade Secrets D. Trademarks E. Copyrights VI. Intellectual Capital 4. Strategic Implications for Business I. Introduction II. Evolution of the Concept of Strategy III. The Views of Business Strategy A. External Competitive Forces B. Internal - Competence C. The Contingency Theory View IV. Hierarchy of Business Strategies A. Introduction B. Corporate Strategy C. Business Unit Level Strategy D. Functional Level Strategy E. Functional Strategies F. Business Unit Strategies V. Strategy Development A. The Strategic Plan B. The Business Model VI. Competitive Position A. Michael Porter VII. Intellectual Property and Competitive Position 5. The Economics of Innovation I. Individual Motivation II. Enterprise Motivations III. Do Organizational and Individual Motivations Work Against Each Other? IV. Economics of Innovation 6. The Linkage Between Innovation, Business and Intellectual Property I. Relationship of Innovation and Intellectual Property? A. The Output of Innovation is Intellectual Property B. Defining Success 1. The Innovators Perspective 2. The organizational Perspective II. Relationship of Innovation and Business III. Relationship of Intellectual Property and Business IV. Forging the disciplines of innovation, intellectual property protection and business 7. Fundamentals of Intellectual Property Strategy I. Introduction II. Examples of Successful Strategies A. Trademark The Coca-Cola Company B. Patents General Electric C. Copyrights Walt Disney Productions D. Trade Secrets - III. Assets needed to effectively compete The linkage to Business and Innovation Strategy IV. Acquisition A. Internal development B. Extrenal Acquisition C. Open Innovation V. Protection VI. Leverage VII. Relation of IP Strategy to Business Strategy 8. Acquisition Strategies I. Sources of IP A. Internal B. External Sources C. Open Innovation II. Acquiring Internally Developed IP A. Identifying Internally Developed IP B. Documenting of Internally Developed IP C. Assessing Internally Developed IP D. Transfering Internally Developed IP E. Communicating of Internally Developed IP III. Acquiring IP from Outside sources A. Identifying Outside Sources of IP B. Documenting Externally Developed IP C. Assessing Externally Developed IP D. Transferring Externally Developed IP E. Communicating Externally Developed IP 9. Protection Strategies I. Layering IP II. Building a portfolio III. Building a streamlined portfolio IV. Examples 10. Leveraging the Strategic Value of IP Through Enforcement I. Enforcement II. Competitive Intelligence III. Enforce or License Decision IV. Examples A. Coca-Cola Product Substitution Program B. Monsanto - Patent Enforcement Program C. Disney Copyright Enforcement Program 11. Leveraging the Strategic Value of IP Through Licensing I. Licensing for Revenue II. BMI and ASCAP III. Patent Pools IV. Licensing V. Cross licensing VI. Transfer 12. Leveraging the Strategic Value of IP within the construct of economic and social policies I. Standards Bodies II. Securitizing III. Auctions IV. IP as the Business A. Example - Lemelson B. Example - Intellectual Ventures V. Antitrust VI. Public Relations 13. International Strategies I. International Treaties II. Differing Legal Systems A. Advanced (US, Europe, Japan) B. Evolving (India, Argentive) C. Rudimentary ( TBD) III. Costs 14. Portfolio Management Strategies I. Portfolio Theory II. Elements of Intellectual Property Portfolio Management A. Managing IP Investments B. Optimizing portfolio C. Allocating Resources D. Managing the Pipeline III. Examples 15. Strategic Framework For IP Programs I. Overview II. Developing The Strategic Framework III. Acquiring Intellectual Property IV. Protecting Intellectual Property V. Leveraging Intellectual Property VI. Managing Intellectual Property VII. Evolution of Straegic Framework A. Rudimentary B. Defensive C. Ramp-up D. Revenue Generating E. Strategic VIII. Implementing the Strategic Framework 16. Industry Specific Strategies I. Telecommunications II. Information Technology III. Pharmaceuticals IV. Energy Production V. Retailing VI. Financial VII. Examples A. Whirlpool B. Wrigley C. ITW APPENDIX I. Intellectual Property Law for Business Owners A. Trade Secrets B. Trademarks C. Trade Dress D. Right of Publicity E. Copyright F. Patents G. Design Patents H. Mask works TABLE OF CASES INDEX","In this paper, the authors discuss the relationship between innovation, business and Intellectual Property, and propose a framework for managing the portfolio of Intellectual Property in the context of business and technology, respectively."
"From patents to trade secrets","https://scispace.com/paper/from-patents-to-trade-secrets-2uxxnbsajh","2023","Book Chapter","","Michael Risch","10.4337/9781802206210.00012","","Beginning in 2010, the U.S. Supreme Court limited the type of inventions that were patentable. In the aftermath of these limits, patent plaintiffs began to lose cases - especially software patent cases - in a way they had not before. Commentators predicted that, faced with waning patent protection, inventors would look to trade secrecy to protect their creations. This chapter is the first to empirically test this prediction. Using a novel dataset and exploiting the differing impact of rule changes on different types of patents, the chapter performs a difference-in-differences-in-differences analysis on trade secret claims before and after Court rulings. The analysis confirms a likely shift to trade secrecy among product and service companies who hold software patents. These companies - those most affected by the law - were 50% more likely to include a trade secret claim in their patent cases after the patent law changed. All the other plaintiffs saw no increase in trade secret claims. The chapter discusses the robustness of this finding, as well as questions that it cannot answer. ","The decline in patentability has led to an increase in trade secret claims, particularly for software patents."
"Secrecy and Patents: Theory and Evidence from the Uniform Trade Secrets Act","https://scispace.com/paper/secrecy-and-patents-theory-and-evidence-from-the-uniform-sdnjg39tzo","2017","Journal Article","","Ivan P. L. Png","10.1287/STSC.2017.0035","https://scispace.com/pdf/secrecy-and-patents-theory-and-evidence-from-the-uniform-sdnjg39tzo.pdf","How should firms use patents and secrecy as appropriability mechanisms? Consider technologies that differ in the likelihood of being invented around or reverse engineered Here, I develop the profit-maximizing strategy: (i) on the internal margin, the marginal patent balances appropriability relative to cost of patents vis-a-vis secrecy, and (ii) on the external margin, commercialize products that yield non-negative profit To test the theory, I exploit staggered enactment of the Uniform Trade Secrets Act (UTSA), using other uniform laws as instruments The Act was associated with 386% fewer patents after one year, and smaller effects in later years The Act was associated with larger effect on companies that earned higher margins, spent more on R&D, and faced weaker enforcement of covenants not to compete The empirical findings are consistent with businesses actively choosing between patent and secrecy as appropriability mechanisms, and appropriability affecting the number of products commercialized T","In this article, a profit-maximizing strategy was developed to commercialize products that yield non-negative profit on the internal margin and on the external margin of a company."
"Is Silence Golden? Patents Versus Secrecy at the Firm Level","https://scispace.com/paper/is-silence-golden-patents-versus-secrecy-at-the-firm-level-2vmql2i6ho","2005","Posted Content","Social Science Research Network","Katrin Hussinger
Katrin Hussinger","","","In the 1990s, patenting schemes changed in many respects: Upcoming new technologies accelerated the shift from price competition towards competition based on technical inventions, a worldwide surge in patenting took place, and the 'patent thicket' arose as a consequence of strategic patenting. This study analyzes the importance of patenting versus secrecy as an effective alternative to protect intellectual property in the inventions' market phase. The sales figure with new products is introduced as a new measure of the importance of IP protection tools among product innovating firms. Focusing on German manufacturing in 2000, it turns out that patents are an effective means to protect intellectual property in the market, whereas secrecy seems to be rather important for inventions that are not yet commercialized.","In this paper, the importance of patenting versus secrecy as an effective alternative to protect intellectual property in the inventions' market phase is analyzed, and the sales figure with new products is introduced as a new measure of the importance for IP protection tools among product innovating firms."
"Protecting innovation through patents and trade secrets : determinants and performance impacts for firms with a single innovation","https://scispace.com/paper/protecting-innovation-through-patents-and-trade-secrets-2l6ho3jakp","2016","Journal Article","Social Science Research Network","Dirk Crass
Francisco Garcia Valero
Francesco Pitton
Christian Rammer","10.2139/SSRN.2844731","https://scispace.com/pdf/protecting-innovation-through-patents-and-trade-secrets-2l6ho3jakp.pdf","This paper tests a number of hypotheses on the use and effectiveness of patents and trade secrets designed to protect innovation. While previous studies have often considered patents and trade secrets as substitutes for one another, we investigate the complementary role of the two protection methods. We identify protection strategies for single innovation firms and hence overcome the assignment problem of existing empirical studies, i.e. whether firms using both protection methods do so for the same innovation or for different innovations. Employing firm panel data from Germany, we find fairly few differences between the determinants for choosing secrecy and patenting. Single innovators that combine both strategies, 39% of the group, tend to aim at a higher level of innovation and act in a more uncertain technological environment. Firms combining both protection methods yield
significantly higher sales with new-to-market innovations. Using only secrecy has slightly
stronger positive impacts on firm profitability.","In this article, the authors investigate the complementary role of patent and trade secret protection methods for single innovation firms and hence overcome the assignment problem of existing empirical studies, i.e. whether firms using both protection methods do so for the same innovation or for different innovations."
"Trade secrets and trade-secret licensing.","https://scispace.com/paper/trade-secrets-and-trade-secret-licensing-2o9vukphpj","2007","","","K. F. Jorda
A. Krattiger
R. T. Mahoney
L. Nelsen
J. A. Thomson
Alan B. Bennett
K. Satyanarayana
Gregory D. Graff
C. Fernandez
Stanley P. Kowalski","","","Exploiting the overlap between intellectual property (IP) categories, especially between patents and trade secrets, is an important facet of IP management. Patents (which require full disclosure) and trade secrets (which are kept confidential) are not incompatible. On the contrary, they can complement one another: patents protect inventions and trade secrets protect collateral know-how. Using patent and trade-secret protection together in a synergistic manner results in a potent exclusivity. Moreover, as licensing has become the preferred instrument for technology transfer, most technology licenses are hybrids, covering both patents and trade secrets. This situation has evolved because licenses that cover patents but do not allow access to collateral know-how usually do not permit patented technology to become commercialized. Despite the ease of obtaining trade-secret protection—immediate efficacy and low cost—this type of IP protection is too often neglected. HANDBOOK OF BEST PRACTICES | 1043 acquired by, or used by others without their consent in a manner contrary to honest commercial practices so long as such information: (a) is secret in the sense that it is not, as a body or in the precise configuration and assembly of its components, generally known among or readily accessible to persons within the circles that normally deal with the kind of information","In this article, the authors exploit the overlap between intellectual property (IP) categories, especially between patents and trade secrets, is an important facet of IP management, and they use patent and trade secret protection together in a synergistic manner."
"Keeping Invention Confidential","https://scispace.com/paper/keeping-invention-confidential-2px7ljee","2022","Journal Article","Proceedings - Academy of Management","Colleen Cunningham
Aldona Kapacinskaite","10.5465/ambpp.2022.14792abstract","","This study investigates use of a prevalent but rarely studied form of intellectual property protection: trade secrets. Building on existing survey evidence of firm-level, cross-sectional use of secrecy, we document the effect of stronger legal trade secret protection on the use of trade secrets, and the rate and nature of secret innovation. Our setting is the US oil and gas hydraulic fracturing (fracking) industry, from 2013 to 2018, in states where firms are required to disclose fracking ingredients to regulators barring substantiated claims of trade secrets. We examine how the enactment of the federal 2016 Defend Trade Secrets Act (DTSA) affects well-level trade secret use across states with varying levels of pre-DTSA trade secret protection. We find substantial increases in the use of secrets, the generation of new secrets, the use of both external and internal secrets, and breadth of secret invention, as well as project complexity. Our results provide rare systematic empirical evidence on actual trade secret use and document how stronger formal appropriability shapes secret innovation. ","In this article , the authors investigated the effect of stronger legal trade secret protection on the use of trade secrets and the rate and nature of secret innovation in the US oil and gas hydraulic fracturing industry."
